id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;lease_contract_id;contract_number;lease_title;commencement_date;terminal_date;lease_amount;created_by_user_id
1;550e8400-e29b-41d4-a716-446655446001;LEASE_CONTRACT_CREATED;2024-01-16T08:00:00;1;550e8400-e29b-41d4-a716-446655446101;LC_001;LeaseContractAggregate;1;LC-2024-001;Office Space Lease Agreement;2024-01-01;2026-12-31;125000.50;1
2;550e8400-e29b-41d4-a716-446655446002;LEASE_CONTRACT_CREATED;2024-01-16T08:30:00;1;550e8400-e29b-41d4-a716-446655446102;LC_002;LeaseContractAggregate;2;LC-2024-002;Warehouse Rental Contract;2024-01-15;2026-12-31;89750.25;2
3;550e8400-e29b-41d4-a716-446655446003;LEASE_CONTRACT_CREATED;2024-01-16T09:00:00;1;550e8400-e29b-41d4-a716-446655446103;LC_003;LeaseContractAggregate;3;LC-2024-003;Equipment Lease Agreement;2024-02-01;2026-12-31;67890.75;3
4;550e8400-e29b-41d4-a716-446655446004;LEASE_CONTRACT_CREATED;2024-01-16T09:30:00;1;550e8400-e29b-41d4-a716-446655446104;LC_004;LeaseContractAggregate;4;LC-2024-004;Vehicle Fleet Lease;2024-01-10;2026-12-31;156780.00;4
5;550e8400-e29b-41d4-a716-446655446005;LEASE_CONTRACT_CREATED;2024-01-16T10:00:00;1;550e8400-e29b-41d4-a716-446655446105;LC_005;LeaseContractAggregate;5;LC-2024-005;Retail Space Lease;2024-01-20;2026-12-31;98456.30;5
6;550e8400-e29b-41d4-a716-446655446006;LEASE_CONTRACT_CREATED;2024-01-16T10:30:00;1;550e8400-e29b-41d4-a716-446655446106;LC_006;LeaseContractAggregate;6;LC-2024-006;Manufacturing Facility Lease;2024-01-05;2026-12-31;234567.80;6
7;550e8400-e29b-41d4-a716-446655446007;LEASE_CONTRACT_CREATED;2024-01-16T11:00:00;1;550e8400-e29b-41d4-a716-446655446107;LC_007;LeaseContractAggregate;7;LC-2024-007;Storage Unit Lease;2024-02-15;2026-12-31;78923.45;7
8;550e8400-e29b-41d4-a716-446655446008;LEASE_CONTRACT_CREATED;2024-01-16T11:30:00;1;550e8400-e29b-41d4-a716-446655446108;LC_008;LeaseContractAggregate;8;LC-2024-008;Technology Equipment Lease;2024-01-25;2026-12-31;145632.90;8
9;550e8400-e29b-41d4-a716-446655446009;LEASE_CONTRACT_CREATED;2024-01-16T12:00:00;1;550e8400-e29b-41d4-a716-446655446109;LC_009;LeaseContractAggregate;9;LC-2024-009;Commercial Property Lease;2024-01-12;2026-12-31;187456.60;9
10;550e8400-e29b-41d4-a716-446655446010;LEASE_CONTRACT_CREATED;2024-01-16T12:30:00;1;550e8400-e29b-41d4-a716-446655446110;LC_010;LeaseContractAggregate;10;LC-2024-010;Industrial Equipment Lease;2024-02-01;2026-12-31;112345.70;10
